Iteracoes 14900000: pi ~= 3.141592586476, pi = 3.141592653590, diferenca absoluta = 6.711388245151e-08, tempo medio = 39.878765 ms (1 execucoes)
Iteracoes 15000000: pi ~= 3.141592586923, pi = 3.141592653590, diferenca absoluta = 6.666649721154e-08, tempo medio = 40.125595 ms (1 execucoes)
Iteracoes 15100000: pi ~= 3.141592587365, pi = 3.141592653590, diferenca absoluta = 6.622504322706e-08, tempo medio = 40.381903 ms (1 execucoes)
Iteracoes 15200000: pi ~= 3.141592587800, pi = 3.141592653590, diferenca absoluta = 6.578940725532e-08, tempo medio = 40.717252 ms (1 execucoes)
Iteracoes 15300000: pi ~= 3.141592588230, pi = 3.141592653590, diferenca absoluta = 6.535939300889e-08, tempo medio = 41.030699 ms (1 execucoes)
Iteracoes 15400000: pi ~= 3.141592588655, pi = 3.141592653590, diferenca absoluta = 6.493497206606e-08, tempo medio = 41.253332 ms (1 execucoes)
Iteracoes 15500000: pi ~= 3.141592589074, pi = 3.141592653590, diferenca absoluta = 6.451599077195e-08, tempo medio = 41.776470 ms (1 execucoes)
Iteracoes 15600000: pi ~= 3.141592589487, pi = 3.141592653590, diferenca absoluta = 6.410241493171e-08, tempo medio = 41.762022 ms (1 execucoes)
Iteracoes 15700000: pi ~= 3.141592589896, pi = 3.141592653590, diferenca absoluta = 6.369423566355e-08, tempo medio = 42.000395 ms (1 execucoes)
Iteracoes 15800000: pi ~= 3.141592590299, pi = 3.141592653590, diferenca absoluta = 6.329111368331e-08, tempo medio = 42.258228 ms (1 execucoes)
Iteracoes 15900000: pi ~= 3.141592590697, pi = 3.141592653590, diferenca absoluta = 6.289306497820e-08, tempo medio = 42.503102 ms (1 execucoes)
Iteracoes 16000000: pi ~= 3.141592591090, pi = 3.141592653590, diferenca absoluta = 6.250001050034e-08, tempo medio = 42.781514 ms (1 execucoes)
Iteracoes 16100000: pi ~= 3.141592591478, pi = 3.141592653590, diferenca absoluta = 6.211174508053e-08, tempo medio = 43.143283 ms (1 execucoes)
Iteracoes 16200000: pi ~= 3.141592591861, pi = 3.141592653590, diferenca absoluta = 6.172830691042e-08, tempo medio = 43.377137 ms (1 execucoes)
Iteracoes 16300000: pi ~= 3.141592592240, pi = 3.141592653590, diferenca absoluta = 6.134959962267e-08, tempo medio = 43.578522 ms (1 execucoes)
Iteracoes 16400000: pi ~= 3.141592592614, pi = 3.141592653590, diferenca absoluta = 6.097552462947e-08, tempo medio = 43.873692 ms (1 execucoes)
Iteracoes 16500000: pi ~= 3.141592592984, pi = 3.141592653590, diferenca absoluta = 6.060598334301e-08, tempo medio = 44.101769 ms (1 execucoes)
